CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6001441302,California,Alameda,5698,2672,3026,14.9,29.3,4.2,0.9,43.8,0.1,3842,101096.0,13549.0,42426.0,4989.0,10.2,10.9,50.4,9.6,24.7,8.9,6.4,78.0,11.4,7.5,0.0,0.4,2.7,32.2,2707,89.0,7.7,3.4,0.0,7.1
6001441401,California,Alameda,7569,3752,3817,11.1,21.4,4.2,0.3,51.8,3.2,4509,105345.0,5889.0,40505.0,5213.0,7.1,6.9,46.7,17.5,21.0,7.3,7.4,81.4,10.5,4.3,1.1,0.9,1.8,31.8,3873,81.8,10.8,7.3,0.0,4.1
6001441402,California,Alameda,5204,2589,2615,10.0,23.9,2.6,0.7,57.3,0.0,3419,118871.0,15168.0,43045.0,3471.0,2.8,5.2,56.0,9.0,26.8,2.8,5.4,68.5,11.8,14.9,0.0,0.4,4.4,36.5,2400,81.4,9.7,8.5,0.4,5.5
6001441501,California,Alameda,6602,3367,3235,5.9,9.3,5.4,0.4,72.4,1.1,4525,130648.0,23546.0,39835.0,4272.0,6.0,16.7,54.2,8.7,23.4,5.7,8.1,79.7,10.5,5.6,0.4,0.9,2.9,32.2,3361,85.6,10.7,3.7,0.0,4.3
6001441503,California,Alameda,6384,3174,3210,2.6,5.0,3.2,0.2,83.4,1.0,2981,148438.0,15539.0,51798.0,4048.0,2.8,1.8,72.7,6.5,18.7,0.7,1.3,74.7,11.3,5.3,0.6,2.7,5.4,33.5,3254,88.2,7.7,4.0,0.0,5.5
6001441521,California,Alameda,6140,3096,3044,5.6,17.2,4.4,0.1,68.1,0.9,3698,120688.0,8566.0,42669.0,5018.0,2.0,1.4,58.8,10.9,22.8,4.0,3.5,70.5,12.3,9.6,1.2,1.5,4.9,35.9,3055,84.2,8.8,7.0,0.0,3.8
6001441522,California,Alameda,5368,2578,2790,15.6,22.3,2.1,0.0,56.1,0.2,3146,94861.0,23793.0,35674.0,5990.0,8.7,15.1,44.6,15.7,20.6,7.3,11.7,76.3,11.3,8.2,0.0,0.9,3.3,32.6,2616,84.3,11.7,4.1,0.0,5.8
6001441523,California,Alameda,4303,2275,2028,5.0,9.2,3.9,0.7,76.3,0.7,1844,115110.0,7304.0,41190.0,3981.0,4.8,3.9,72.2,6.7,9.7,2.7,8.7,76.0,12.4,5.7,1.1,0.0,4.8,33.7,2116,88.2,5.6,4.4,1.7,8.0
6001441524,California,Alameda,4371,2258,2113,4.1,5.1,0.3,1.5,86.0,0.1,1924,150719.0,18497.0,45815.0,5089.0,4.9,2.3,81.9,3.8,11.8,1.2,1.4,75.8,10.6,9.0,0.0,3.4,1.1,40.9,1914,94.1,5.3,0.0,0.6,8.7
6001441601,California,Alameda,4799,2429,2370,20.5,29.7,3.8,0.3,35.2,6.1,3066,99708.0,17522.0,36052.0,3997.0,5.2,8.7,40.0,11.9,28.9,5.0,14.2,81.4,9.0,6.7,0.2,0.0,2.6,32.5,2287,88.1,8.2,3.8,0.0,8.1
6001441602,California,Alameda,8002,4035,3967,22.3,20.2,6.1,0.0,44.3,3.3,4434,90595.0,12504.0,29803.0,3969.0,6.2,6.1,38.2,17.3,23.6,14.0,6.9,74.6,10.6,8.6,0.7,2.3,3.1,29.5,3990,90.4,7.7,1.9,0.0,4.2
6001441700,California,Alameda,7264,3866,3398,29.2,27.3,5.7,0.7,32.8,0.0,4264,91827.0,6551.0,36942.0,3109.0,6.9,7.2,44.8,18.0,22.3,3.4,11.4,71.9,11.5,9.1,1.7,0.1,5.7,29.2,3911,82.3,9.6,7.8,0.4,7.8
6001441800,California,Alameda,6991,3365,3626,12.5,38.5,1.7,0.4,43.2,0.0,4487,99391.0,10202.0,40143.0,4322.0,4.2,1.0,56.4,10.8,23.4,1.7,7.8,68.8,9.5,11.5,1.3,3.2,5.6,32.7,3544,78.2,16.9,4.5,0.3,5.2
6001441921,California,Alameda,3767,1924,1843,24.8,19.4,2.9,2.0,42.8,0.0,2259,106821.0,5265.0,37554.0,3911.0,1.9,0.0,52.1,12.4,19.6,5.9,10.0,69.8,10.2,9.0,3.4,1.1,6.6,28.5,2129,89.5,8.0,2.5,0.0,6.3
6001441923,California,Alameda,5839,2559,3280,12.0,19.5,1.8,0.0,63.6,0.0,2449,66103.0,21921.0,31517.0,4909.0,14.1,16.5,63.9,8.8,16.6,3.2,7.5,50.4,5.4,32.7,7.1,1.4,3.0,37.3,2372,88.2,6.5,5.3,0.0,9.2
6001441924,California,Alameda,7769,3661,4108,14.7,34.8,0.6,0.6,44.4,0.0,4664,111442.0,16702.0,38812.0,4004.0,16.2,21.4,60.6,15.8,13.2,5.2,5.2,68.7,7.2,18.0,3.0,1.8,1.3,34.3,3848,82.3,12.0,5.7,0.0,13.2
6001441925,California,Alameda,6138,3056,3082,6.2,20.7,4.0,0.7,63.7,0.1,2851,102161.0,13070.0,54832.0,5185.0,2.6,7.4,76.2,2.2,13.9,1.4,6.3,56.0,11.7,26.2,0.0,1.9,4.2,39.6,3869,92.6,4.7,2.7,0.0,4.5
