School,City,Region,Applied,Admitted,Enrolled
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,38,24,16
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,103,23,11
ANIMO VENICE CHARTER HS,Venice,Los Angeles,62,28,11
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,25,14,5
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,104,68,28
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,71,48,27
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,50,22,8
ANTELOPE VALLEY LEARNING ACDMY,Palmdale,Los Angeles,,,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,43,29,15
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,9,5,3
APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,24,9,6
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,62,42,21
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,39,13,6
APTOS HIGH SCHOOL,Aptos,Santa Cruz,80,44,20
ARAGON HIGH SCHOOL,San Mateo,San Mateo,160,116,65
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,451,336,194
ARCATA HIGH SCHOOL,Arcata,Humboldt,40,29,19
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,123,79,43
ARCHITECTURE CONSTRUCT ENG HS,Camarillo,Ventura,,,
ARGONAUT HIGH SCHOOL,Jackson,Amador,11,7,
ARISE HIGH SCHOOL,Oakland,Alameda,30,10,3
ARLETA CAL-SAFE,Arleta,Los Angeles,,,
ARLETA HIGH SCHOOL,Arleta,Los Angeles,65,25,8
ARLINGTON HIGH SCHOOL,Riverside,Riverside,99,59,44
ARMIJO HIGH SCHOOL,Fairfield,Solano,67,43,33
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,374,257,130
ARROYO GRANDE HIGH (CROWN HILL),Arroyo Grande,San Luis Obispo,,,
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,107,73,43
ARROYO HIGH SCHOOL,El Monte,Los Angeles,141,93,70
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,107,63,42
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,97,58,39
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,63,34,11
ARVIN HIGH SCHOOL,Arvin,Kern,77,50,23
ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,8,6,
ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,37,30,16
ASPIRE EAST PALO ALTO PHOENIX,East Palo Alto,San Mateo,17,12,11
ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,40,21,8
ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,47,22,7
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,29,17,8
ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,57,23,12
ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,21,7,
ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,13,8,5
ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,8,6,4
ASSURANCE LEARNING ACADEMY,Lancaster,Los Angeles,,,
ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,26,18,9
ATWATER HIGH SCHOOL,Atwater,Merced,66,49,22
AUDEO CHARTER SCHOOL II,San Diego,San Diego,,,
AUDEO CHARTER SCHOOL,San Diego,San Diego,,,
AUGUSTUS HAWKINS COMM HEALTH ADVCTE,Los Angeles,Los Angeles,20,7,3
AUGUSTUS HAWKINS HIGH SCHOOL RISE,Los Angeles,Los Angeles,11,5,3
AVALON HIGH SCHOOL,Avalon,Los Angeles,,,
AVENAL HIGH SCHOOL,Avenal,Kings,50,35,12
AVESON GLOBAL LEADERSHIP ACAD,Altadena,Los Angeles,11,,
AZUSA HIGH SCHOOL,Azusa,Los Angeles,44,25,8
BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,59,37,21
BALBOA HIGH SCHOOL,San Francisco,San Francisco,112,68,38
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,98,65,31
BANNING HIGH SCHOOL,Banning,Riverside,51,27,13
