State,2020,2021,2022,2023
Alabama,5031864,5050380,5073903,5108468
Alaska,732964,734923,733276,733406
Arizona,7186683,7272487,7365684,7431344
Arkansas,3014348,3028443,3046404,3067732
California,39503200,39145060,39040616,38965193
Colorado,5785219,5811596,5841039,5877610
Connecticut,3577586,3603691,3608706,3617176
Delaware,991862,1004881,1019459,1031890
District of Columbia,670839,669037,670949,678972
Florida,21591299,21830708,22245521,22610726
Georgia,10732390,10790385,10913150,11029227
Hawaii,1451181,1446745,1439399,1435138
Idaho,1849339,1904537,1938996,1964726
Illinois,12790357,12690341,12582515,12549689
Indiana,6789098,6813798,6832274,6862199
Iowa,3190904,3197944,3199693,3207004
Kansas,2938124,2937946,2936716,2940546
Kentucky,4508155,4507600,4511563,4526154
Louisiana,4652022,4627047,4588023,4573749
Maine,1364517,1378787,1389338,1395722
Maryland,6173689,6175045,6163981,6180253
Massachusetts,6997713,6991951,6982740,7001399
Michigan,10070627,10038117,10033281,10037261
Minnesota,5710578,5717968,5714300,5737915
Mississippi,2958409,2949582,2938928,2939690
Missouri,6154426,6170393,6177168,6196156
Montana,1087211,1106366,1122878,1132812
Nebraska,1963273,1964253,1968060,1978379
Nevada,3115840,3146632,3177421,3194176
New Hampshire,1378702,1387494,1399003,1402054
New Jersey,9272392,9269175,9260817,9290841
New Mexico,2118488,2116950,2113476,2114371
New York,20104710,19854526,19673200,19571216
North Carolina,10453812,10567100,10695965,10835491
North Dakota,779563,777982,778912,783926
Ohio,11798292,11765227,11759697,11785935
Oklahoma,3965234,3991634,4019271,4053824
Oregon,4245044,4256465,4239379,4233358
Pennsylvania,12995477,13013614,12972091,12961683
Rhode Island,1096444,1097092,1093842,1095962
South Carolina,5132151,5193848,5282955,5373555
South Dakota,887852,896299,909869,919318
Tennessee,6926091,6963709,7048976,7126489
Texas,29234361,29561286,30029848,30503301
Utah,3283982,3339284,3381236,3417734
Vermont,642936,647093,647110,647464
Virginia,8637193,8657348,8679099,8715698
Washington,7724566,7741433,7784477,7812880
West Virginia,1791562,1785249,1774035,1770071
Wisconsin,5896700,5879978,5890543,5910955
Wyoming,577664,579548,581629,584057
