Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
170,Jordan Goodwin,PG,25,MEM,5,4,29.6,3.2,9.4,.340,0.8,3.0,.267,2.4,6.4,.375,.383,0.8,2.0,.400,2.0,3.2,5.2,4.8,2.0,1.2,2.0,1.4,8.0,goodwjo01
171,Aaron Gordon,PF,28,DEN,56,56,31.6,5.5,9.9,.551,0.6,1.9,.292,4.9,8.1,.612,.579,2.4,3.6,.650,2.4,4.1,6.5,3.2,0.8,0.7,1.5,1.9,13.9,gordoaa01
172,Eric Gordon,SG,35,PHO,51,24,29.6,4.5,10.0,.451,2.4,6.3,.384,2.1,3.7,.567,.573,0.9,1.1,.793,0.3,1.7,2.0,2.2,1.0,0.5,1.3,1.2,12.4,gordoer01
173,Devonte' Graham,PG,28,SAS,12,0,8.3,0.9,2.5,.367,0.6,1.8,.318,0.3,0.7,.500,.483,0.5,0.7,.750,0.2,1.2,1.3,1.6,0.3,0.1,0.3,0.3,2.9,grahade01
174,Jerami Grant,PF,29,POR,53,53,33.9,7.1,15.8,.452,2.1,5.1,.404,5.1,10.6,.475,.518,4.8,5.8,.816,0.7,2.9,3.6,2.8,0.8,0.6,2.2,2.2,21.1,grantje01
175,A.J. Green,SG,24,MIL,42,0,9.5,1.5,3.4,.433,1.2,2.9,.410,0.3,0.5,.579,.610,0.2,0.3,.909,0.1,0.9,1.1,0.6,0.1,0.0,0.2,0.9,4.3,greenaj01
176,Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,greenda02
177,Draymond Green,PF,33,GSW,37,34,26.3,3.4,6.8,.504,1.1,2.4,.448,2.4,4.5,.533,.581,1.2,1.6,.763,1.2,5.8,7.0,5.8,0.7,0.9,2.4,3.0,9.1,greendr01
178,Jalen Green,SG,21,HOU,62,62,30.7,6.3,15.5,.409,2.1,6.8,.313,4.2,8.7,.485,.478,3.4,4.2,.812,0.4,4.4,4.8,3.3,0.7,0.3,2.2,1.3,18.2,greenja05
179,Jeff Green,PF,37,HOU,59,5,16.4,1.9,4.1,.467,0.5,1.5,.307,1.5,2.6,.558,.523,1.7,2.1,.810,0.6,1.5,2.1,0.9,0.2,0.4,0.7,1.4,5.9,greenje02
180,Josh Green,SG,23,DAL,49,32,27.3,3.3,6.9,.488,1.4,3.4,.408,1.9,3.4,.569,.591,0.7,1.0,.660,0.7,2.6,3.3,2.4,0.9,0.2,1.1,2.0,8.8,greenjo02
181,AJ Griffin,SF,20,ATL,18,0,7.3,0.7,2.5,.289,0.5,1.8,.273,0.2,0.7,.333,.389,0.1,0.1,1.000,0.1,0.7,0.8,0.2,0.1,0.1,0.3,0.3,2.1,griffaj01
182,Quentin Grimes,SG,23,TOT,49,18,20.2,2.4,6.4,.382,1.7,4.7,.351,0.8,1.7,.470,.511,0.6,0.8,.730,0.3,1.7,2.0,1.2,0.7,0.1,0.5,1.4,7.1,grimequ01
182,Quentin Grimes,SG,23,NYK,45,18,20.2,2.5,6.4,.395,1.7,4.7,.363,0.8,1.6,.486,.530,0.5,0.8,.706,0.3,1.6,2.0,1.2,0.7,0.1,0.5,1.5,7.3,grimequ01
182,Quentin Grimes,SG,23,DET,4,0,19.8,1.8,7.0,.250,1.0,4.8,.211,0.8,2.3,.333,.321,0.8,0.8,1.000,0.0,2.0,2.0,2.0,1.0,1.0,1.3,1.0,5.3,grimequ01
183,Mouhamadou Gueye,PF,25,TOR,2,0,5.0,0.5,2.0,.250,0.0,0.0,,0.5,2.0,.250,.250,0.0,0.0,,1.5,1.0,2.5,0.0,0.0,1.5,0.0,1.0,1.0,gueyemo01
