CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6075012202,California,San Francisco,3295,2163,1132,24.5,35.4,19.6,0.0,17.3,0.3,2240,29896.0,9176.0,28776.0,6464.0,29.7,0.0,34.3,25.7,24.3,7.7,7.8,11.4,1.3,32.1,36.5,11.0,7.6,24.2,1837,87.0,9.4,3.6,0.0,11.8
6075012301,California,San Francisco,1996,1199,797,27.8,30.8,8.3,1.1,28.7,0.0,1289,13909.0,3975.0,15497.0,2712.0,42.7,38.6,26.1,56.4,13.7,0.0,3.9,18.1,1.9,47.9,28.5,2.8,0.8,25.4,747,93.4,3.5,3.1,0.0,5.0
6075012302,California,San Francisco,2468,1413,1055,14.1,38.9,6.2,0.0,37.5,0.0,1790,34189.0,7219.0,40838.0,7531.0,26.9,0.0,55.1,18.5,20.6,2.5,3.3,13.8,1.8,33.4,34.1,5.3,11.7,29.3,1488,77.6,14.4,8.0,0.0,7.2
6075012401,California,San Francisco,4787,3002,1785,35.5,27.9,5.3,0.0,24.4,0.8,2755,20332.0,2970.0,17535.0,3626.0,27.6,4.7,24.9,52.5,15.4,1.8,5.4,2.8,5.2,54.9,34.5,2.0,0.5,22.5,2455,82.9,8.0,9.0,0.0,9.1
6075012402,California,San Francisco,3600,1992,1608,13.8,39.1,6.5,0.0,34.6,0.0,2875,38333.0,11989.0,41234.0,7009.0,26.0,58.1,50.3,18.2,24.3,1.5,5.8,9.5,1.9,57.1,20.7,7.5,3.2,26.8,1924,95.1,3.7,1.2,0.0,5.3
6075012501,California,San Francisco,3728,2357,1371,15.3,26.4,14.4,1.8,41.6,0.0,2757,16902.0,5468.0,14930.0,2724.0,37.2,17.5,20.2,33.6,25.6,4.4,16.3,9.9,2.8,57.6,24.5,2.8,2.4,25.6,1259,86.9,7.0,6.1,0.0,7.1
6075012502,California,San Francisco,4101,2465,1636,25.5,15.0,10.7,2.2,40.9,0.0,2881,11925.0,855.0,13140.0,1777.0,45.3,20.5,14.2,54.1,23.3,4.5,3.9,5.0,1.9,50.1,37.1,0.0,6.0,28.7,1474,79.1,12.1,8.8,0.0,14.1
6075012601,California,San Francisco,2334,1221,1113,14.7,74.3,0.6,0.0,10.4,0.0,1966,101875.0,17069.0,92279.0,10292.0,2.0,0.0,63.3,3.9,30.5,0.9,1.4,39.5,2.4,32.0,4.5,5.5,16.1,33.2,1722,88.3,4.8,6.9,0.0,5.8
6075012602,California,San Francisco,2943,1300,1643,4.3,82.8,0.0,0.0,10.0,0.0,2283,128750.0,12395.0,97012.0,13339.0,4.5,0.0,68.6,9.1,20.3,0.6,1.5,39.9,8.3,31.6,6.9,7.9,5.4,29.3,1920,87.3,5.7,7.0,0.0,4.8
6075012700,California,San Francisco,3760,1710,2050,5.3,75.8,3.8,0.0,7.5,0.0,3030,107689.0,37538.0,84057.0,10790.0,5.4,0.0,69.6,1.8,23.7,2.2,2.8,42.8,10.4,34.4,3.6,4.4,4.3,36.0,2276,84.4,10.9,4.7,0.0,6.0
6075012800,California,San Francisco,5128,2413,2715,11.5,73.6,1.2,0.0,9.4,0.0,3791,125758.0,30815.0,87505.0,11031.0,5.9,6.9,69.1,5.3,21.4,0.0,4.2,32.6,11.4,32.3,4.4,5.5,13.8,31.4,3304,87.8,3.2,9.0,0.0,4.6
6075012901,California,San Francisco,2587,1081,1506,4.0,77.6,0.0,0.3,12.4,0.0,2228,124056.0,13747.0,98450.0,9834.0,3.5,0.0,78.1,2.8,14.9,2.1,2.1,25.7,10.4,41.7,4.5,12.7,5.0,32.6,2054,91.3,2.8,5.9,0.0,3.0
6075012902,California,San Francisco,3537,1615,1922,6.4,72.0,1.1,0.0,15.8,0.0,2989,103810.0,12173.0,79474.0,8982.0,8.8,35.9,63.0,7.3,27.3,0.0,2.4,36.2,3.7,46.3,1.7,6.0,6.1,34.1,2554,91.8,6.5,1.7,0.0,2.6
6075013000,California,San Francisco,4626,2225,2401,6.0,79.6,0.0,0.2,11.1,0.0,3970,145871.0,14128.0,96552.0,12881.0,8.2,6.1,69.1,2.9,27.4,0.6,0.0,28.1,11.9,29.1,6.4,6.9,17.6,26.9,3249,91.4,3.2,5.4,0.0,6.8
6075013101,California,San Francisco,4071,2022,2049,6.6,67.5,2.4,0.0,19.6,0.0,3219,124043.0,24040.0,104123.0,14399.0,4.6,0.0,71.7,3.9,23.4,0.5,0.5,25.9,6.1,40.3,10.3,9.2,8.3,34.0,3114,90.3,2.5,7.2,0.0,3.5
6075013102,California,San Francisco,2823,1340,1483,6.5,80.1,0.0,0.0,11.7,0.4,2407,102333.0,10294.0,95241.0,20699.0,6.5,0.7,68.6,5.7,24.0,1.3,0.4,27.9,4.6,29.4,18.0,8.8,11.3,30.6,1977,85.1,6.0,8.9,0.0,1.5
6075013200,California,San Francisco,4796,2503,2293,5.0,79.0,2.0,0.0,13.3,0.0,3911,139669.0,29547.0,139559.0,23941.0,2.8,4.3,72.6,7.5,17.2,2.1,0.6,44.9,4.3,25.4,8.2,5.1,12.1,25.8,2634,82.3,3.9,13.7,0.0,4.5
6075013300,California,San Francisco,4497,2086,2411,8.4,69.7,1.9,0.0,13.7,0.0,3466,134152.0,23906.0,95836.0,10842.0,12.0,5.0,68.7,5.7,22.1,1.1,2.4,41.8,3.6,24.7,4.5,7.3,18.0,27.7,2209,74.0,12.8,13.3,0.0,6.1
6075013400,California,San Francisco,4026,1789,2237,6.8,78.7,1.3,0.0,9.4,0.6,3098,125409.0,19328.0,91193.0,13935.0,6.4,0.0,64.2,10.5,21.4,3.9,0.0,33.2,7.6,22.9,9.9,11.0,15.3,31.4,2720,80.7,5.8,13.1,0.4,3.3
6075013500,California,San Francisco,2580,1191,1389,8.1,67.2,2.6,0.1,18.8,0.2,2164,109083.0,16197.0,93416.0,12618.0,8.1,0.0,67.8,4.0,28.0,0.0,0.1,38.8,6.7,31.4,8.8,8.6,5.6,30.3,1716,86.7,6.0,7.3,0.0,3.8
6075015100,California,San Francisco,2175,1094,1081,8.8,55.8,0.0,0.0,31.2,0.0,1857,82255.0,25577.0,73375.0,7296.0,6.7,0.0,67.5,9.8,20.4,1.4,0.8,22.2,9.5,28.8,23.5,7.3,8.8,30.3,1414,88.3,3.3,8.5,0.0,3.5
6075015200,California,San Francisco,4300,2051,2249,4.2,63.6,6.3,0.0,23.3,0.0,3557,91265.0,17154.0,65131.0,10044.0,12.0,0.0,74.2,5.6,17.0,3.1,0.0,32.6,4.1,35.3,10.7,6.1,11.2,32.5,2543,83.8,6.4,9.9,0.0,6.7
6075015300,California,San Francisco,2141,1105,1036,7.9,64.7,7.8,0.0,14.7,1.0,1765,100583.0,18799.0,75595.0,11311.0,6.5,0.0,67.9,10.9,19.8,0.0,1.5,43.5,5.2,31.9,6.3,4.6,8.5,29.3,1491,84.5,6.5,8.2,0.8,2.4
6075015400,California,San Francisco,6080,2732,3348,5.0,60.6,3.0,0.0,26.7,1.0,4752,112472.0,9151.0,72216.0,11239.0,5.6,0.0,66.7,10.2,18.9,1.6,2.6,43.6,8.0,32.4,6.0,4.6,5.5,28.4,3448,80.7,7.7,11.6,0.0,8.1
